model,precision,resolution,hardware,fps,latency_ms,size_mb,map50
YOLOv8n,FP32,320,CPU1,64.1732,15.582828969102367,12.14,0.521438
YOLOv8s,FP32,320,CPU1,35.7109,28.002654651660976,42.67,0.614547
YOLOv8m,FP32,320,CPU1,2.8104,355.8212354113293,98.88,0.660944
YOLOv8n,FP32,640,CPU1,23.9696,41.719511381082704,12.26,0.681449
YOLOv8s,FP32,640,CPU1,10.3011,97.07701119297938,42.79,0.709116
YOLOv8m,FP32,640,CPU1,1.9216,520.3996669442132,99.0,0.723569
YOLOv8n,FP32,1280,CPU1,5.9072,169.284940411701,12.74,0.725778
YOLOv8s,FP32,1280,CPU1,2.5601,390.6097418069607,43.27,0.761152
YOLOv8m,FP32,1280,CPU1,0.999,1001.001001001001,99.48,0.757325
YOLOv8n,FP16,320,CPU1,61.7969,16.1820414939908,6.08,0.520598
YOLOv8s,FP16,320,CPU1,21.8552,45.75570116036458,21.35,0.614515
YOLOv8m,FP16,320,CPU1,11.0203,90.74163135304846,49.45,0.663453
YOLOv8n,FP16,640,CPU1,13.5533,73.78276877218094,6.14,0.681476
YOLOv8s,FP16,640,CPU1,6.7362,148.4516492978237,21.41,0.709287
YOLOv8m,FP16,640,CPU1,3.2922,303.7482534475427,49.51,0.723501
YOLOv8n,FP16,1280,CPU1,5.1509,194.14082975790637,6.38,0.724195
YOLOv8s,FP16,1280,CPU1,2.2968,435.3883664228492,21.65,0.759581
YOLOv8m,FP16,1280,CPU1,0.9149,1093.0156301235106,49.75,0.755405
YOLOv8n,INT8 Static,320,CPU1,16.1451,61.9382970684604,3.31,0.497935
YOLOv8s,INT8 Static,320,CPU1,8.5828,116.51209395535255,11.02,0.564415
YOLOv8m,INT8 Static,320,CPU1,8.2609,121.05218559721096,25.22,0.633234
YOLOv8n,INT8 Static,640,CPU1,15.5196,64.43465037758705,3.43,0.653009
YOLOv8s,INT8 Static,640,CPU1,5.7725,173.235166738848,11.14,0.691776
YOLOv8m,INT8 Static,640,CPU1,2.677,373.55248412401943,25.34,0.713427
YOLOv8n,INT8 Static,1280,CPU1,4.0739,245.46503350597706,3.91,0.70467
YOLOv8s,INT8 Static,1280,CPU1,1.5106,661.9886137958428,11.62,0.733785
YOLOv8m,INT8 Static,1280,CPU1,0.7107,1407.0634585619812,25.82,0.759759
YOLOv8n,INT8 Dynamic,320,CPU1,66.2173,15.101793640030628,12.14,0.521438
YOLOv8s,INT8 Dynamic,320,CPU1,12.2797,81.43521421533099,42.67,0.614228
