model,precision,resolution,hardware,fps,latency_ms,size_mb,map50,A_norm,F_norm,S_norm,utility,feasible,constraint_violation,pareto_optimal
YOLOv8n,INT8 Dynamic,640,GPU2,45.9126,21.780513410262103,12.26,0.67987,0.698829911002097,0.6153258707788309,0.09306436518664864,0.515399843697368,True,0.0,True
YOLOv8s,FP16,1280,GPU2,12.4568,80.27743882859161,21.65,0.761018,0.9994960984682875,0.15989768595468834,0.1907039617344286,0.5095765626736645,True,0.0,True
YOLOv8n,FP32,640,GPU2,43.7517,22.856254728387697,12.26,0.67987,0.698829911002097,0.5859099021101251,0.09306436518664864,0.5065750530967563,True,0.0,False
YOLOv8s,FP16,1280,GPU1,7.8868,126.7941370391033,21.65,0.761154,1.0,0.0976870437148874,0.1907039617344286,0.49116532076758046,False,0.26794137039103305,True
YOLOv8s,INT8 Static,640,GPU2,37.0933,26.95904651244295,11.14,0.684049,0.7143137676272908,0.4952702215216151,0.08141832172195071,0.48945428592573975,True,0.0,True
YOLOv8n,FP32,640,GPU1,39.466,25.33826584908529,12.26,0.679865,0.6988113852104902,0.5275693880079118,0.09306436518664864,0.4890636359702889,True,0.0,False
YOLOv8s,INT8 Static,1280,GPU2,14.3319,69.77441930239536,11.62,0.733685,0.8982230060690495,0.18542310723780667,0.08640948320682124,0.48745653856450244,True,0.0,True
YOLOv8s,FP16,640,GPU2,30.1633,33.15287120441066,21.41,0.709162,0.8073614085529873,0.40093329576191705,0.18820838099199336,0.4863190168066701,True,0.0,True
YOLOv8n,INT8 Dynamic,640,GPU1,38.7926,25.778112320391003,12.26,0.679865,0.6988113852104902,0.5184025069391411,0.09306436518664864,0.4863135716496577,True,0.0,False
YOLOv8n,INT8 Dynamic,1280,GPU2,18.1003,55.247703076744585,12.74,0.725816,0.8690671152378342,0.23672170334644252,0.09805552667151918,0.48593896328854597,True,0.0,True
YOLOv8n,FP32,1280,GPU2,17.9713,55.64427726430476,12.74,0.725816,0.8690671152378342,0.23496564801844813,0.09805552667151918,0.4854121466901477,True,0.0,False
YOLOv8s,INT8 Dynamic,640,GPU2,41.3695,24.17239753924993,42.79,0.707891,0.8026521523264691,0.5534814137198288,0.41052303213060204,0.48526589385306285,True,0.0,True
YOLOv8s,FP32,640,GPU2,40.6903,24.575881721196453,42.79,0.707891,0.8026521523264691,0.5442355782254584,0.41052303213060204,0.48249214320475176,True,0.0,False
YOLOv8s,INT8 Dynamic,1280,GPU2,16.5224,60.52389483368033,43.27,0.760824,0.9987772977539329,0.21524201573371127,0.4155141936154726,0.4808584148739853,True,0.0,True
YOLOv8n,FP16,640,GPU2,34.2168,29.22540974024456,6.14,0.679815,0.6986261272944191,0.4561129102737404,0.029427056254549232,0.48026152547842177,True,0.0,True
YOLOv8n,FP16,1280,GPU2,13.2606,75.41136901799315,6.38,0.725643,0.8684261228482295,0.17083968031625332,0.031922636996984506,0.4790804381195939,True,0.0,True
YOLOv8s,FP32,1280,GPU2,15.8469,63.10382472281645,43.27,0.760824,0.9987772977539329,0.20604654771774067,0.4155141936154726,0.47809977446919405,True,0.0,False
YOLOv8s,FP16,640,GPU1,28.142,35.53407718001564,21.41,0.709141,0.8072836002282379,0.3734176784404051,0.18820838099199336,0.4780254274478418,True,0.0,False
YOLOv8m,INT8 Static,640,GPU2,30.265,33.04146704113663,25.34,0.708243,0.8039563680556069,0.4023177207763126,0.22907351564937092,0.4768587971308231,True,0.0,True
YOLOv8s,FP16,1280,CPU2,4.3144,231.78193955127017,21.65,0.761036,0.9995627913180732,0.04905656267824302,0.1907039617344286,0.4763575721156238,False,1.3178193955127018,False
YOLOv8n,FP32,1280,GPU1,14.8924,67.14834412183396,12.74,0.725816,0.8690671152378342,0.19305309957378225,0.09805552667151918,0.47283838215674795,True,0.0,False
YOLOv8m,INT8 Static,1280,GPU2,11.0798,90.25433672087944,25.82,0.747494,0.9493875373294701,0.14115281629074833,0.23406467713424145,0.4702266781251113,True,0.0,False
YOLOv8n,INT8 Static,1280,GPU2,16.6463,60.07340970666154,3.91,0.710115,0.8108924244332962,0.21692864561850586,0.006238951856088178,0.4692770155309822,True,0.0,True
YOLOv8n,INT8 Static,640,GPU2,39.398,25.38199908624803,3.43,0.658794,0.6207399942199531,0.5266437154319148,0.0012477903712176366,0.46811355366530744,True,0.0,True
YOLOv8n,FP16,1280,GPU1,10.5133,95.11761292838597,6.38,0.725673,0.8685372775978718,0.13344114696277298,0.031922636996984506,0.4679164554883709,True,0.0,True
YOLOv8s,FP16,1280,CPU1,2.2968,435.3883664228492,21.65,0.759581,0.9941717859604139,0.02159131283513091,0.1907039617344286,0.4654224944838605,False,3.353883664228492,False
YOLOv8s,INT8 Static,1280,GPU1,8.1129,123.26048638587928,11.62,0.73177,0.8911276278835396,0.10076490503007755,0.08640948320682124,0.4585113888094288,False,0.23260486385879275,False
YOLOv8n,INT8 Dynamic,1280,GPU1,11.3084,88.42983976513034,12.74,0.725816,0.8690671152378342,0.14426470968593838,0.09805552667151918,0.4582018651903948,True,0.0,False
YOLOv8m,FP16,640,GPU2,30.4514,32.83921264703758,49.51,0.723568,0.860737919331293,0.4048551526611045,0.4803992929187896,0.4557456468802199,True,0.0,True
YOLOv8s,INT8 Dynamic,1280,GPU1,9.8726,101.29044020825314,43.27,0.76083,0.9987995287038616,0.12471940550040092,0.4155141936154726,0.4537127472789565,False,0.012904402082531448,False
YOLOv8s,FP32,1280,GPU1,9.2814,107.7423664533368,43.27,0.76083,0.9987995287038616,0.11667149922202666,0.4155141936154726,0.45129837539544426,False,0.07742366453336799,False
YOLOv8n,FP16,1280,CPU2,6.3933,156.41374563996683,6.38,0.725676,0.8685483930728359,0.07735627912295247,0.031922636996984506,0.4510965528739068,False,0.5641374563996684,True
YOLOv8m,INT8 Static,1280,CPU1,0.7107,1407.0634585619812,25.82,0.759759,0.9948313041416258,0.0,0.23406467713424145,0.4506027166439646,False,13.070634585619812,False
YOLOv8m,INT8 Static,1280,CPU2,1.7779,562.4613307835086,25.82,0.75715,0.985164546081054,0.014527614310353515,0.23406467713424145,0.45012762190678474,False,4.624613307835086,False
YOLOv8n,INT8 Static,1280,GPU1,11.5545,86.54636721623609,3.91,0.710115,0.8108924244332962,0.14761482764112765,0.006238951856088178,0.4484828701377688,True,0.0,False
YOLOv8n,FP32,1280,CPU2,7.9756,125.38241636992828,12.74,0.725776,0.8689189089049775,0.09889586319648354,0.09805552667151918,0.44451710807712996,False,0.2538241636992828,False
YOLOv8s,INT8 Static,1280,CPU2,3.3785,295.9893443836022,11.62,0.734559,0.901461314441966,0.03631631320948379,0.08640948320682124,0.4443436545424639,False,1.959893443836022,True
YOLOv8n,FP16,1280,CPU1,5.1509,194.1408297579064,6.38,0.724195,0.8630610535988205,0.06044369664620658,0.031922636996984506,0.4432791083938753,False,0.9414082975790641,False
YOLOv8n,INT8 Dynamic,1280,CPU2,7.5783,131.9557156618239,12.74,0.725776,0.8689189089049775,0.09348748504290083,0.09805552667151918,0.4428945946310552,False,0.31955715661823886,False
YOLOv8n,INT8 Dynamic,640,CPU2,28.0307,35.67517043812677,12.26,0.679877,0.6988558471103469,0.3719025702388099,0.09306436518664864,0.4423858215894867,True,0.0,False
YOLOv8n,FP32,640,CPU2,27.9382,35.79328661116321,12.26,0.679877,0.6988558471103469,0.37064338327881396,0.09306436518664864,0.4420080655014879,True,0.0,False
YOLOv8m,INT8 Static,1280,GPU1,4.0203,248.73765639380147,25.82,0.747494,0.9493875373294701,0.045053028787055825,0.23406467713424145,0.4413967418740035,False,1.4873765639380148,False
YOLOv8m,FP16,1280,GPU2,10.7555,92.97568685788669,49.75,0.757326,0.9858166539456233,0.13673817487316245,0.48289487366122485,0.4373508047025154,True,0.0,False
YOLOv8n,FP32,1280,CPU1,5.9072,169.284940411701,12.74,0.725778,0.8689263192216204,0.07073908148777364,0.09805552667151918,0.4360737787228385,False,0.69284940411701,False
YOLOv8s,INT8 Static,1280,CPU1,1.5106,661.9886137958428,11.62,0.733785,0.8985935219011909,0.010888904316765155,0.08640948320682124,0.43528153560426075,False,5.619886137958428,False
YOLOv8n,INT8 Dynamic,1280,CPU1,5.6409,177.27667570777712,12.74,0.725776,0.8689189089049775,0.06711398432618523,0.09805552667151918,0.4349825444160405,False,0.7727667570777712,False
YOLOv8s,FP32,1280,CPU2,5.2124,191.8502033612156,43.27,0.760904,0.9990737104196463,0.0612808858142039,0.4155141936154726,0.43481828223098984,False,0.9185020336121559,False
YOLOv8s,INT8 Dynamic,1280,CPU2,5.0016,199.9360204734485,43.27,0.760904,0.9990737104196463,0.05841130082861308,0.4155141936154726,0.4339574067353126,False,0.9993602047344851,False
YOLOv8n,INT8 Static,640,GPU1,30.5967,32.68326322773371,3.43,0.658708,0.6204213506043113,0.40683309715069815,0.0012477903712176366,0.43201104637312154,True,0.0,False
YOLOv8n,FP16,640,CPU2,22.2073,45.03023780468585,6.14,0.67981,0.6986076015028123,0.2926296043702636,0.029427056254549232,0.4312072708115754,True,0.0,False
YOLOv8s,INT8 Static,640,GPU1,22.362,44.71871925588052,11.14,0.684866,0.7173408819758867,0.29473550948065685,0.08141832172195071,0.43080742948775025,True,0.0,True
YOLOv8n,FP32,640,CPU1,23.9696,41.719511381082704,12.26,0.681449,0.7046803559916115,0.3166194982037868,0.09306436518664864,0.42871315441961205,True,0.0,False
YOLOv8s,FP16,640,CPU2,16.2747,61.44506503960135,21.41,0.707883,0.8026225110598978,0.21187011724732202,0.18820838099199336,0.42723061450574684,True,0.0,False
YOLOv8s,FP32,1280,CPU1,2.5601,390.6097418069607,43.27,0.761152,0.9999925896833574,0.025175571500719435,0.4155141936154726,0.42444612756879996,False,2.906097418069607,False
YOLOv8s,INT8 Dynamic,1280,CPU1,2.4696,404.9238743116295,43.27,0.760904,0.9990737104196463,0.023943610204723378,0.4155141936154726,0.42361709954814564,False,3.049238743116295,False
YOLOv8s,FP16,320,GPU2,57.6318,17.351531619696072,21.35,0.614337,0.4560197707248032,0.7748573715527204,0.18758448580638457,0.4229501996669408,False,0.035663,True
